,t_statistic,t_p_value,u_statistic,u_p_value,ks_statistic,ks_p_value,wasserstein_distance,natural_mean,generated_mean,natural_std,generated_std
AA_M,-3.6879666322343283,0.0002374562195774156,84916.5,1.0025099526751514e-15,0.38421875,5.762812724907272e-29,0.012351189418044667,0.0094380803037537,0.014249999999999999,0.021109796840533497,0.012893472720566271
AA_N,0.8299292275459594,0.40676461436026734,94616.0,2.136627461904197e-06,0.5646354166666666,3.0894302260662074e-64,0.028093111510814298,0.02694715104547013,0.025166666666666664,0.0369941247317984,0.005407064209603782
AA_P,4.984022025555072,7.263294240175623e-07,89731.5,1.2432323200930402e-08,0.5263020833333333,2.2943596378465652e-55,0.09014910000763492,0.10394927381816978,0.06341666666666666,0.14055658746955188,0.013761333628431469
AA_Q,-2.3088586438958703,0.021141976958788847,76109.5,5.702590499575296e-20,0.6566666666666666,4.4821808166422196e-89,0.026738462456218092,0.02132874273261331,0.02583333333333333,0.033593235220856256,0.005722591113507663
AA_R,3.8375500480023206,0.0001315713363480595,98548.5,0.00021671987425775564,0.47182291666666665,4.3747507203800256e-44,0.12052417233407142,0.15193590826098866,0.11474999999999999,0.16746576759868753,0.01664665744266331
AA_S,-6.771300821736468,2.1046513790090255e-11,69769.5,9.638960935661626e-25,0.59859375,8.490817918807754e-73,0.0355082907559047,0.038660774771329814,0.058083333333333334,0.04889318111317978,0.01399031158635025
AA_T,-0.7911966752664177,0.4290052295665442,88812.5,1.3617595792766037e-09,0.5426041666666667,4.863156232728373e-59,0.023755282606162657,0.028610900979976327,0.030499999999999996,0.040572724108949895,0.012726213959349043
AA_V,-4.917624796528249,1.0138667481586194e-06,79296.5,8.728533114558236e-16,0.535,2.610309240479354e-57,0.04160135668089715,0.050806523295017024,0.06674999999999999,0.055596864113630004,0.012464833475766745
AA_W,2.5257278532869396,0.011689877430036025,100909.0,0.0004238791289594814,0.3133854166666667,2.9793395151128996e-19,0.021467525576735196,0.023340426343913936,0.01483333333333333,0.05781393331612673,0.012300809809199387
AA_Y,-0.37851981359719633,0.7051198468053099,87015.0,8.10655349420169e-12,0.47630208333333335,5.89106201722404e-45,0.021528191447524846,0.018444544673696973,0.019166666666666665,0.03236511561875454,0.010591481821704043
